Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Stefon Diggs*+,BUF,27,WR,16,15,166,127,76.50%,1535,12.1,8,73,55,9.2,7.9,95.9,0
2,Davante Adams*+,GNB,28,WR,14,14,149,115,77.20%,1374,11.9,18,73,56,9.2,8.2,98.1,1
3,DeAndre Hopkins*,ARI,28,WR,16,16,160,115,71.90%,1407,12.2,6,75,60,8.8,7.2,87.9,3
4,Darren Waller*,LVR,28,TE,16,15,145,107,73.80%,1196,11.2,9,69,38,8.2,6.7,74.8,2
5,Travis Kelce*+,KAN,31,TE,15,15,145,105,72.40%,1416,13.5,11,79,45,9.8,7,94.4,1
6,Allen Robinson,CHI,27,WR,16,16,151,102,67.50%,1250,12.3,6,68,42,8.3,6.4,78.1,0
7,Keenan Allen *,LAC,28,WR,14,13,147,100,68.00%,992,9.9,8,61,28,6.7,7.1,70.9,3
8,Tyler Lockett,SEA,28,WR,16,16,132,100,75.80%,1054,10.5,10,57,47,8,6.3,65.9,1
9,JuJu Smith-Schuster,PIT,24,WR,16,14,128,97,75.80%,831,8.6,9,48,31,6.5,6.1,51.9,3
10,Robby Anderson,CAR,27,WR,16,16,136,95,69.90%,1096,11.5,3,49,75,8.1,5.9,68.5,1
11,Amari Cooper,DAL,26,WR,16,15,130,92,70.80%,1114,12.1,5,54,69,8.6,5.8,69.6,0
12,Cooper Kupp,LAR,27,WR,15,12,124,92,74.20%,974,10.6,3,44,55,7.9,6.1,64.9,1
13,Calvin Ridley,ATL,26,WR,15,15,143,90,62.90%,1374,15.3,9,65,63,9.6,6,91.6,1
14,Robert Woods,LAR,28,WR,16,16,129,90,69.80%,936,10.4,6,44,56,7.3,5.6,58.5,2
15,Justin Jefferson *,MIN,21,WR,16,14,125,88,70.40%,1400,15.9,7,58,71,11.2,5.5,87.5,1
16,Diontae Johnson,PIT,24,WR,15,13,144,88,61.10%,923,10.5,7,45,47,6.4,5.9,61.5,2
17,Tyreek Hill*+,KAN,26,WR,15,15,135,87,64.40%,1276,14.7,15,57,75,9.5,5.8,85.1,1
18,Terry McLaurin,WAS,25,WR,15,15,134,87,64.90%,1118,12.9,4,51,68,8.3,5.8,74.5,1
